Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Seasonality,Preparation Method,Wastage Food Amount
Fruits,310,Corporate,350,Room Temperature,All Seasons,Finger Food,35
Vegetables,208,Wedding,282,Refrigerated,Winter,Sit-down Dinner,22
Fruits,208,Wedding,282,Refrigerated,All Seasons,Sit-down Dinner,22
Vegetables,250,Birthday,350,Room Temperature,Summer,Finger Food,20
Baked Goods,300,Wedding,400,Room Temperature,Summer,Finger Food,15
Fruits,250,Corporate,350,Refrigerated,Winter,Sit-down Dinner,20
Baked Goods,290,Birthday,374,Room Temperature,All Seasons,Finger Food,27
Fruits,342,Corporate,405,Refrigerated,All Seasons,Finger Food,29
Dairy Products,280,Wedding,480,Room Temperature,Winter,Sit-down Dinner,15
Vegetables,434,Wedding,495,Refrigerated,All Seasons,Sit-down Dinner,36
Meat,230,Social Gathering,500,Refrigerated,All Seasons,Sit-down Dinner,20
Baked Goods,491,Birthday,497,Room Temperature,All Seasons,Finger Food,32
Dairy Products,250,Social Gathering,500,Room Temperature,Winter,Buffet,40
Fruits,320,Social Gathering,480,Room Temperature,All Seasons,Buffet,40
Fruits,400,Corporate,500,Room Temperature,Summer,Sit-down Dinner,50
Fruits,230,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,20
Fruits,208,Wedding,282,Room Temperature,All Seasons,Sit-down Dinner,22
Dairy Products,220,Birthday,300,Room Temperature,Winter,Finger Food,15
Fruits,300,Social Gathering,400,Room Temperature,All Seasons,Buffet,30
Baked Goods,453,Birthday,484,Room Temperature,Summer,Sit-down Dinner,54
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Buffet,40
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Fruits,450,Social Gathering,500,Room Temperature,All Seasons,Finger Food,30
Meat,400,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,50
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Baked Goods,208,Corporate,282,Room Temperature,Winter,Sit-down Dinner,22
Meat,280,Social Gathering,350,Refrigerated,All Seasons,Finger Food,20
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,Sit-down Dinner,35
Fruits,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,350,Social Gathering,450,Room Temperature,Summer,Sit-down Dinner,45
Baked Goods,400,Social Gathering,500,Room Temperature,Summer,Sit-down Dinner,50
Baked Goods,300,Social Gathering,400,Room Temperature,Summer,Sit-down Dinner,40
Baked Goods,230,Social Gathering,500,Room Temperature,Summer,Sit-down Dinner,30
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,50
Dairy Products,300,Social Gathering,400,Room Temperature,Winter,Finger Food,15
Baked Goods,350,Social Gathering,450,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,261,Birthday,350,Room Temperature,All Seasons,Sit-down Dinner,23
Dairy Products,438,Social Gathering,493,Room Temperature,All Seasons,Sit-down Dinner,35
Meat,491,Birthday,497,Refrigerated,Summer,Finger Food,32
Meat,300,Birthday,400,Refrigerated,Winter,Finger Food,15
Meat,300,Wedding,400,Refrigerated,Winter,Sit-down Dinner,40
Meat,350,Wedding,450,Refrigerated,Summer,Sit-down Dinner,35
Meat,292,Corporate,470,Refrigerated,Summer,Sit-down Dinner,50
Meat,300,Wedding,400,Refrigerated,Winter,Finger Food,25
Baked Goods,430,Corporate,477,Room Temperature,Summer,Buffet,29
Fruits,220,Corporate,300,Room Temperature,Summer,Finger Food,15
Meat,320,Wedding,400,Refrigerated,Winter,Sit-down Dinner,35
Fruits,300,Corporate,400,Refrigerated,Winter,Finger Food,15
Meat,350,Wedding,450,Refrigerated,All Seasons,Sit-down Dinner,35
Meat,320,Corporate,400,Refrigerated,Winter,Finger Food,25
Fruits,400,Birthday,500,Refrigerated,Summer,Sit-down Dinner,50
Baked Goods,250,Social Gathering,350,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,261,Social Gathering,350,Room Temperature,All Seasons,Sit-down Dinner,23
Fruits,220,Corporate,300,Refrigerated,Winter,Finger Food,15
Meat,400,Wedding,500,Refrigerated,Winter,Sit-down Dinner,45
Meat,280,Corporate,350,Room Temperature,Winter,Finger Food,15
Vegetables,320,Wedding,400,Room Temperature,Summer,Buffet,35
Fruits,320,Wedding,400,Refrigerated,Summer,Sit-down Dinner,35
Meat,250,Corporate,350,Refrigerated,Winter,Finger Food,20
Vegetables,280,Birthday,350,Refrigerated,Winter,Finger Food,20
Meat,300,Birthday,400,Refrigerated,Winter,Sit-down Dinner,15
Meat,300,Corporate,400,Refrigerated,Summer,Finger Food,15
Meat,350,Corporate,450,Refrigerated,Winter,Finger Food,20
Meat,220,Corporate,450,Refrigerated,Winter,Finger Food,30
Vegetables,280,Corporate,350,Refrigerated,Summer,Finger Food,20
Meat,400,Corporate,500,Room Temperature,Winter,Sit-down Dinner,40
Vegetables,320,Birthday,400,Refrigerated,Summer,Sit-down Dinner,40
Dairy Products,250,Corporate,500,Room Temperature,Winter,Buffet,40
Baked Goods,310,Birthday,450,Room Temperature,All Seasons,Buffet,25
Vegetables,220,Corporate,300,Refrigerated,Summer,Finger Food,20
Baked Goods,220,Corporate,300,Room Temperature,Winter,Finger Food,15
Fruits,350,Wedding,450,Room Temperature,Summer,Sit-down Dinner,40
Meat,320,Corporate,400,Room Temperature,Winter,Finger Food,25
Fruits,300,Wedding,400,Room Temperature,Summer,Sit-down Dinner,35
Vegetables,320,Wedding,400,Refrigerated,Summer,Sit-down Dinner,35
Fruits,320,Social Gathering,400,Refrigerated,All Seasons,Buffet,30
Fruits,320,Social Gathering,400,Refrigerated,All Seasons,Buffet,30
Dairy Products,310,Corporate,450,Refrigerated,All Seasons,Buffet,25
Meat,300,Corporate,400,Refrigerated,All Seasons,Sit-down Dinner,35
Vegetables,250,Corporate,350,Refrigerated,Winter,Sit-down Dinner,40
Fruits,220,Wedding,300,Refrigerated,Summer,Finger Food,15
Meat,350,Wedding,450,Refrigerated,All Seasons,Sit-down Dinner,25
Baked Goods,400,Corporate,500,Room Temperature,Summer,Finger Food,40
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,Buffet,10
Vegetables,302,Corporate,371,Room Temperature,All Seasons,Buffet,27
Baked Goods,350,Wedding,450,Room Temperature,Winter,Sit-down Dinner,25
Baked Goods,220,Birthday,300,Room Temperature,Summer,Finger Food,15
Fruits,250,Birthday,350,Room Temperature,Winter,Finger Food,20
Baked Goods,220,Wedding,300,Room Temperature,Winter,Finger Food,15
Dairy Products,280,Corporate,350,Room Temperature,Winter,Finger Food,20
Meat,488,Social Gathering,498,Refrigerated,All Seasons,Finger Food,63
Fruits,220,Social Gathering,300,Room Temperature,Winter,Finger Food,15
Fruits,320,Social Gathering,400,Refrigerated,All Seasons,Buffet,45
Meat,320,Corporate,400,Refrigerated,All Seasons,Finger Food,25
Dairy Products,207,Birthday,280,Room Temperature,Summer,Finger Food,20
Fruits,280,Wedding,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,300,Corporate,400,Room Temperature,Winter,Sit-down Dinner,20
Baked Goods,310,Corporate,350,Room Temperature,Winter,Finger Food,35
Fruits,400,Social Gathering,500,Refrigerated,Summer,Sit-down Dinner,45
Fruits,400,Birthday,500,Room Temperature,All Seasons,Sit-down Dinner,25
Fruits,491,Social Gathering,497,Room Temperature,Summer,Finger Food,32
Baked Goods,220,Wedding,300,Room Temperature,Winter,Finger Food,15
Baked Goods,220,Wedding,300,Room Temperature,Summer,Finger Food,15
Vegetables,320,Corporate,400,Refrigerated,Winter,Sit-down Dinner,35
Vegetables,350,Corporate,450,Refrigerated,Winter,Sit-down Dinner,25
Baked Goods,400,Wedding,500,Room Temperature,Summer,Sit-down Dinner,50
Baked Goods,320,Wedding,400,Room Temperature,Summer,Finger Food,25
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Buffet,20
Baked Goods,250,Wedding,350,Room Temperature,Summer,Sit-down Dinner,40
Baked Goods,280,Wedding,350,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,320,Corporate,400,Room Temperature,All Seasons,Buffet,45
Meat,250,Corporate,350,Refrigerated,Winter,Sit-down Dinner,20
Vegetables,400,Corporate,500,Refrigerated,Summer,Sit-down Dinner,25
Fruits,400,Birthday,500,Room Temperature,All Seasons,Sit-down Dinner,25
Meat,300,Social Gathering,400,Room Temperature,Winter,Sit-down Dinner,35
Dairy Products,491,Birthday,497,Room Temperature,All Seasons,Finger Food,32
Baked Goods,250,Corporate,350,Room Temperature,All Seasons,Finger Food,30
Fruits,320,Social Gathering,400,Room Temperature,Summer,Finger Food,25
Fruits,220,Social Gathering,300,Room Temperature,Summer,Finger Food,15
Fruits,280,Social Gathering,350,Room Temperature,Winter,Finger Food,20
Dairy Products,400,Birthday,500,Room Temperature,Summer,Sit-down Dinner,45
Baked Goods,350,Wedding,450,Room Temperature,Summer,Sit-down Dinner,30
Baked Goods,400,Social Gathering,500,Room Temperature,Winter,Finger Food,40
Baked Goods,250,Social Gathering,350,Room Temperature,Winter,Sit-down Dinner,40
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,25
Fruits,400,Social Gathering,500,Room Temperature,All Seasons,Sit-down Dinner,50
Baked Goods,310,Social Gathering,350,Room Temperature,All Seasons,Finger Food,35
Baked Goods,350,Corporate,450,Room Temperature,All Seasons,Sit-down Dinner,45
Baked Goods,320,Corporate,400,Room Temperature,All Seasons,Sit-down Dinner,40
Baked Goods,220,Wedding,300,Room Temperature,Winter,Finger Food,15
Dairy Products,280,Birthday,350,Room Temperature,All Seasons,Finger Food,20
Dairy Products,250,Birthday,350,Room Temperature,All Seasons,Buffet,20
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,Finger Food,30
Baked Goods,220,Wedding,300,Room Temperature,All Seasons,Finger Food,15
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Buffet,20
Dairy Products,350,Birthday,450,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,342,Social Gathering,405,Room Temperature,Summer,Finger Food,29
Baked Goods,380,Social Gathering,500,Room Temperature,Summer,Sit-down Dinner,35
Dairy Products,250,Birthday,350,Room Temperature,All Seasons,Sit-down Dinner,40
Baked Goods,400,Corporate,500,Room Temperature,Winter,Sit-down Dinner,50
Baked Goods,400,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,50
Baked Goods,400,Corporate,500,Room Temperature,Winter,Sit-down Dinner,40
Dairy Products,400,Wedding,500,Room Temperature,Winter,Sit-down Dinner,40
Dairy Products,320,Wedding,400,Room Temperature,Winter,Sit-down Dinner,35
Dairy Products,342,Social Gathering,405,Room Temperature,Summer,Finger Food,29
Dairy Products,400,Social Gathering,500,Room Temperature,Summer,Sit-down Dinner,40
Dairy Products,320,Social Gathering,400,Room Temperature,Winter,Sit-down Dinner,35
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Sit-down Dinner,20
Dairy Products,220,Social Gathering,300,Room Temperature,All Seasons,Finger Food,15
Baked Goods,400,Wedding,500,Room Temperature,Winter,Sit-down Dinner,40
Vegetables,350,Wedding,450,Room Temperature,Winter,Sit-down Dinner,25
Vegetables,429,Social Gathering,496,Refrigerated,Winter,Sit-down Dinner,42
Baked Goods,380,Social Gathering,400,Room Temperature,Winter,Finger Food,25
Baked Goods,250,Birthday,350,Room Temperature,All Seasons,Sit-down Dinner,40
Meat,250,Social Gathering,350,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,250,Corporate,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,300,Social Gathering,400,Room Temperature,Summer,Sit-down Dinner,20
Dairy Products,320,Social Gathering,480,Room Temperature,All Seasons,Buffet,40
Baked Goods,300,Social Gathering,400,Room Temperature,Summer,Sit-down Dinner,20
Dairy Products,380,Social Gathering,400,Room Temperature,Winter,Finger Food,25
Baked Goods,320,Social Gathering,400,Room Temperature,Summer,Sit-down Dinner,40
Dairy Products,300,Social Gathering,400,Room Temperature,Summer,Finger Food,25
Dairy Products,397,Social Gathering,482,Room Temperature,Winter,Sit-down Dinner,31
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,15
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,20
Meat,488,Wedding,498,Refrigerated,Winter,Finger Food,63
Meat,320,Corporate,400,Refrigerated,Summer,Buffet,25
Meat,302,Birthday,371,Room Temperature,Summer,Buffet,27
Meat,300,Wedding,450,Refrigerated,Winter,Finger Food,35
Meat,350,Wedding,450,Refrigerated,Summer,Sit-down Dinner,40
Vegetables,280,Wedding,350,Refrigerated,Summer,Finger Food,20
Meat,300,Wedding,450,Refrigerated,All Seasons,Finger Food,35
Fruits,320,Birthday,480,Room Temperature,Summer,Buffet,40
Fruits,350,Birthday,450,Refrigerated,Winter,Finger Food,30
Meat,300,Birthday,400,Room Temperature,Winter,Finger Food,20
Meat,350,Corporate,450,Refrigerated,Summer,Finger Food,30
Baked Goods,367,Birthday,420,Room Temperature,Winter,Buffet,40
Meat,300,Wedding,400,Refrigerated,All Seasons,Finger Food,25
Meat,300,Wedding,400,Refrigerated,Winter,Sit-down Dinner,20
Fruits,280,Birthday,350,Room Temperature,Winter,Sit-down Dinner,25
Fruits,320,Corporate,480,Room Temperature,All Seasons,Buffet,40
Baked Goods,320,Wedding,400,Room Temperature,All Seasons,Buffet,35
Meat,250,Birthday,400,Room Temperature,Summer,Sit-down Dinner,25
Vegetables,207,Birthday,280,Refrigerated,All Seasons,Finger Food,20
Meat,250,Social Gathering,350,Refrigerated,Summer,Finger Food,35
Meat,250,Corporate,350,Room Temperature,Winter,Finger Food,35
Fruits,350,Birthday,450,Refrigerated,Summer,Sit-down Dinner,45
Fruits,438,Wedding,493,Refrigerated,Winter,Sit-down Dinner,35
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,Buffet,10
Meat,310,Social Gathering,350,Room Temperature,Winter,Finger Food,35
Baked Goods,380,Birthday,480,Room Temperature,Winter,Buffet,30
Baked Goods,320,Wedding,400,Room Temperature,Summer,Finger Food,25
Fruits,400,Corporate,500,Room Temperature,Winter,Sit-down Dinner,50
Meat,453,Social Gathering,484,Refrigerated,Summer,Sit-down Dinner,54
Baked Goods,350,Birthday,450,Room Temperature,Summer,Sit-down Dinner,40
Baked Goods,400,Corporate,500,Room Temperature,Winter,Sit-down Dinner,45
Meat,400,Corporate,500,Refrigerated,All Seasons,Sit-down Dinner,50
Dairy Products,300,Birthday,400,Room Temperature,All Seasons,Buffet,30
Dairy Products,434,Birthday,495,Room Temperature,Summer,Sit-down Dinner,36
Fruits,280,Birthday,350,Room Temperature,All Seasons,Sit-down Dinner,25
Baked Goods,400,Social Gathering,450,Room Temperature,Summer,Buffet,30
Baked Goods,400,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,25
Meat,350,Wedding,450,Refrigerated,All Seasons,Sit-down Dinner,25
Fruits,453,Birthday,484,Room Temperature,All Seasons,Sit-down Dinner,54
Dairy Products,453,Corporate,484,Room Temperature,Winter,Sit-down Dinner,54
Dairy Products,240,Wedding,450,Room Temperature,Summer,Sit-down Dinner,20
Dairy Products,350,Wedding,450,Room Temperature,Winter,Sit-down Dinner,35
Dairy Products,300,Birthday,400,Room Temperature,Winter,Finger Food,25
Dairy Products,320,Social Gathering,400,Room Temperature,All Seasons,Finger Food,25
Meat,367,Birthday,420,Room Temperature,Summer,Buffet,40
Meat,220,Wedding,300,Refrigerated,Summer,Finger Food,15
Fruits,280,Wedding,350,Refrigerated,Winter,Finger Food,20
Fruits,491,Birthday,497,Refrigerated,Winter,Finger Food,32
Baked Goods,434,Wedding,495,Room Temperature,All Seasons,Sit-down Dinner,36
Vegetables,230,Corporate,500,Refrigerated,Summer,Sit-down Dinner,30
Baked Goods,250,Birthday,350,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,300,Corporate,400,Room Temperature,Summer,Finger Food,25
Baked Goods,350,Wedding,450,Room Temperature,All Seasons,Sit-down Dinner,45
Dairy Products,320,Wedding,400,Room Temperature,All Seasons,Finger Food,25
Dairy Products,310,Social Gathering,350,Room Temperature,Winter,Finger Food,35
Baked Goods,280,Birthday,350,Room Temperature,All Seasons,Finger Food,20
Dairy Products,320,Wedding,400,Room Temperature,All Seasons,Sit-down Dinner,35
Baked Goods,260,Social Gathering,400,Room Temperature,Summer,Sit-down Dinner,20
Meat,400,Birthday,450,Refrigerated,Winter,Buffet,30
Meat,220,Wedding,300,Refrigerated,Summer,Finger Food,15
Meat,275,Corporate,388,Refrigerated,All Seasons,Finger Food,16
Meat,320,Corporate,400,Refrigerated,Winter,Sit-down Dinner,40
Meat,400,Corporate,500,Refrigerated,Winter,Sit-down Dinner,50
Dairy Products,400,Social Gathering,400,Room Temperature,Winter,Sit-down Dinner,40
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,Finger Food,15
Vegetables,300,Social Gathering,450,Refrigerated,All Seasons,Sit-down Dinner,35
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,220,Social Gathering,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,220,Social Gathering,300,Room Temperature,Summer,Finger Food,15
Baked Goods,400,Social Gathering,500,Room Temperature,All Seasons,Sit-down Dinner,50
Baked Goods,220,Social Gathering,300,Room Temperature,All Seasons,Finger Food,15
Fruits,453,Wedding,484,Refrigerated,Winter,Sit-down Dinner,54
Meat,400,Corporate,500,Refrigerated,Winter,Sit-down Dinner,50
Fruits,250,Birthday,350,Refrigerated,Summer,Finger Food,30
Vegetables,350,Corporate,450,Room Temperature,Winter,Buffet,40
Meat,300,Wedding,400,Refrigerated,Winter,Sit-down Dinner,25
Meat,380,Birthday,500,Refrigerated,Winter,Sit-down Dinner,35
Meat,250,Wedding,350,Refrigerated,Winter,Sit-down Dinner,20
Vegetables,220,Corporate,300,Refrigerated,Winter,Sit-down Dinner,15
Baked Goods,488,Wedding,498,Room Temperature,Winter,Finger Food,63
Meat,400,Corporate,500,Refrigerated,All Seasons,Sit-down Dinner,50
Baked Goods,491,Birthday,497,Room Temperature,Summer,Finger Food,32
Fruits,400,Wedding,500,Refrigerated,Winter,Sit-down Dinner,40
Meat,261,Birthday,350,Refrigerated,Summer,Sit-down Dinner,23
Vegetables,434,Wedding,495,Refrigerated,All Seasons,Sit-down Dinner,36
Fruits,350,Wedding,450,Room Temperature,Winter,Sit-down Dinner,30
Vegetables,350,Birthday,450,Refrigerated,Summer,Sit-down Dinner,35
Baked Goods,380,Birthday,480,Room Temperature,Winter,Buffet,30
Fruits,400,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,40
Baked Goods,247,Wedding,348,Room Temperature,Winter,Finger Food,16
Dairy Products,320,Corporate,400,Room Temperature,Winter,Buffet,25
Meat,350,Social Gathering,450,Refrigerated,Summer,Sit-down Dinner,35
Baked Goods,207,Wedding,280,Room Temperature,All Seasons,Finger Food,20
Baked Goods,280,Corporate,350,Room Temperature,Summer,Sit-down Dinner,25
Baked Goods,400,Corporate,500,Room Temperature,Winter,Finger Food,40
Dairy Products,220,Wedding,300,Room Temperature,Winter,Finger Food,15
Baked Goods,400,Wedding,500,Room Temperature,Summer,Sit-down Dinner,40
Baked Goods,250,Birthday,350,Room Temperature,Summer,Finger Food,20
Baked Goods,320,Birthday,400,Room Temperature,Winter,Finger Food,20
Vegetables,250,Corporate,350,Refrigerated,Summer,Sit-down Dinner,25
Baked Goods,280,Social Gathering,350,Room Temperature,Winter,Finger Food,20
Dairy Products,300,Corporate,400,Room Temperature,Winter,Sit-down Dinner,40
Dairy Products,230,Wedding,500,Room Temperature,Winter,Sit-down Dinner,20
Vegetables,350,Wedding,450,Refrigerated,Summer,Sit-down Dinner,25
Fruits,261,Corporate,350,Refrigerated,All Seasons,Sit-down Dinner,23
Baked Goods,247,Corporate,348,Room Temperature,Winter,Finger Food,16
Baked Goods,380,Corporate,480,Room Temperature,All Seasons,Buffet,30
Baked Goods,350,Corporate,450,Room Temperature,Winter,Sit-down Dinner,35
Dairy Products,300,Birthday,400,Room Temperature,Summer,Sit-down Dinner,20
Baked Goods,380,Social Gathering,480,Room Temperature,Winter,Buffet,30
Fruits,380,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,35
Vegetables,300,Social Gathering,400,Refrigerated,Winter,Sit-down Dinner,35
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Buffet,20
Dairy Products,300,Wedding,400,Room Temperature,All Seasons,Finger Food,25
Baked Goods,320,Wedding,400,Room Temperature,All Seasons,Finger Food,25
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Buffet,30
Baked Goods,280,Social Gathering,350,Room Temperature,Winter,Finger Food,15
Baked Goods,208,Corporate,282,Room Temperature,All Seasons,Sit-down Dinner,22
Baked Goods,320,Wedding,400,Room Temperature,All Seasons,Sit-down Dinner,35
Baked Goods,300,Social Gathering,400,Room Temperature,Summer,Sit-down Dinner,40
Dairy Products,240,Social Gathering,450,Room Temperature,All Seasons,Sit-down Dinner,30
Meat,250,Corporate,500,Refrigerated,Summer,Buffet,40
Meat,430,Corporate,477,Room Temperature,Winter,Buffet,29
Fruits,350,Social Gathering,450,Refrigerated,All Seasons,Sit-down Dinner,25
Baked Goods,300,Social Gathering,400,Room Temperature,Summer,Sit-down Dinner,40
Dairy Products,220,Social Gathering,300,Room Temperature,Winter,Finger Food,15
Baked Goods,280,Social Gathering,480,Room Temperature,All Seasons,Sit-down Dinner,15
Baked Goods,350,Social Gathering,450,Room Temperature,All Seasons,Sit-down Dinner,25
Dairy Products,350,Social Gathering,450,Room Temperature,All Seasons,Sit-down Dinner,25
Fruits,320,Wedding,400,Refrigerated,Summer,Buffet,35
Meat,300,Wedding,400,Refrigerated,Winter,Finger Food,15
Meat,380,Wedding,480,Refrigerated,Winter,Buffet,30
Meat,300,Corporate,400,Refrigerated,Winter,Finger Food,20
Meat,250,Wedding,350,Refrigerated,Winter,Sit-down Dinner,25
Fruits,380,Corporate,500,Refrigerated,Summer,Sit-down Dinner,35
Meat,280,Corporate,350,Refrigerated,Summer,Sit-down Dinner,25
Meat,350,Corporate,450,Refrigerated,Summer,Sit-down Dinner,45
Meat,320,Wedding,400,Refrigerated,All Seasons,Sit-down Dinner,35
Meat,380,Corporate,480,Refrigerated,Winter,Buffet,30
Meat,250,Corporate,350,Refrigerated,Winter,Finger Food,30
Meat,280,Wedding,350,Refrigerated,Summer,Finger Food,20
Meat,429,Birthday,496,Refrigerated,Winter,Sit-down Dinner,42
Dairy Products,320,Wedding,400,Room Temperature,Summer,Buffet,30
Meat,400,Wedding,500,Refrigerated,Summer,Sit-down Dinner,50
Fruits,400,Wedding,450,Room Temperature,All Seasons,Buffet,30
Meat,208,Corporate,282,Refrigerated,Winter,Sit-down Dinner,22
Fruits,320,Social Gathering,400,Room Temperature,Summer,Buffet,30
Vegetables,350,Wedding,450,Refrigerated,Summer,Finger Food,20
Vegetables,280,Corporate,350,Refrigerated,Winter,Sit-down Dinner,25
Meat,350,Wedding,450,Refrigerated,Summer,Sit-down Dinner,25
Fruits,300,Wedding,450,Room Temperature,All Seasons,Finger Food,35
Fruits,275,Wedding,388,Room Temperature,Winter,Finger Food,16
Fruits,220,Birthday,450,Room Temperature,Summer,Finger Food,20
Baked Goods,400,Wedding,500,Room Temperature,Summer,Buffet,30
Vegetables,302,Social Gathering,371,Refrigerated,Winter,Buffet,27
Baked Goods,320,Corporate,400,Room Temperature,All Seasons,Buffet,45
Meat,397,Wedding,482,Room Temperature,Winter,Sit-down Dinner,31
Vegetables,320,Social Gathering,400,Refrigerated,All Seasons,Buffet,30
Meat,300,Social Gathering,400,Room Temperature,Winter,Finger Food,15
Dairy Products,300,Corporate,400,Room Temperature,Winter,Finger Food,20
Fruits,300,Wedding,400,Refrigerated,All Seasons,Sit-down Dinner,20
Baked Goods,320,Birthday,400,Room Temperature,Winter,Finger Food,15
Meat,230,Birthday,500,Room Temperature,Winter,Sit-down Dinner,30
Meat,320,Social Gathering,400,Refrigerated,Summer,Sit-down Dinner,35
Meat,280,Wedding,350,Refrigerated,All Seasons,Finger Food,20
Fruits,280,Wedding,350,Refrigerated,Summer,Finger Food,20
Meat,320,Wedding,400,Refrigerated,Summer,Sit-down Dinner,35
Meat,300,Birthday,400,Refrigerated,Winter,Sit-down Dinner,35
Fruits,280,Wedding,350,Room Temperature,Summer,Sit-down Dinner,25
Meat,400,Birthday,500,Refrigerated,All Seasons,Sit-down Dinner,45
Meat,250,Social Gathering,350,Refrigerated,Summer,Finger Food,20
Baked Goods,400,Corporate,500,Room Temperature,Summer,Sit-down Dinner,50
Baked Goods,342,Corporate,405,Room Temperature,Summer,Finger Food,29
Vegetables,350,Birthday,450,Refrigerated,Summer,Sit-down Dinner,25
Fruits,250,Wedding,350,Refrigerated,Winter,Sit-down Dinner,20
Baked Goods,320,Birthday,480,Room Temperature,Summer,Buffet,40
Vegetables,320,Corporate,400,Room Temperature,Winter,Buffet,25
Fruits,400,Birthday,500,Room Temperature,Summer,Sit-down Dinner,50
Fruits,320,Corporate,400,Room Temperature,Winter,Finger Food,20
Meat,250,Social Gathering,480,Room Temperature,Winter,Finger Food,20
Baked Goods,350,Corporate,450,Room Temperature,Winter,Finger Food,20
Vegetables,400,Corporate,500,Refrigerated,Winter,Sit-down Dinner,45
Meat,250,Social Gathering,350,Room Temperature,Summer,Buffet,20
Vegetables,434,Wedding,495,Room Temperature,Winter,Sit-down Dinner,36
Vegetables,350,Birthday,450,Refrigerated,Winter,Sit-down Dinner,45
Vegetables,400,Birthday,500,Refrigerated,Summer,Sit-down Dinner,50
Baked Goods,280,Wedding,350,Room Temperature,Summer,Finger Food,15
Fruits,250,Social Gathering,350,Refrigerated,All Seasons,Buffet,20
Baked Goods,300,Wedding,400,Room Temperature,Summer,Sit-down Dinner,40
Vegetables,250,Corporate,350,Refrigerated,Summer,Finger Food,20
Baked Goods,300,Birthday,400,Room Temperature,Winter,Finger Food,25
Vegetables,300,Wedding,400,Refrigerated,Summer,Finger Food,25
Dairy Products,280,Social Gathering,350,Room Temperature,Winter,Buffet,20
Baked Goods,432,Wedding,477,Room Temperature,Winter,Sit-down Dinner,23
Vegetables,300,Social Gathering,400,Room Temperature,Summer,Finger Food,20
Dairy Products,300,Wedding,400,Room Temperature,Winter,Sit-down Dinner,40
Dairy Products,320,Corporate,480,Room Temperature,All Seasons,Buffet,40
Vegetables,320,Social Gathering,400,Refrigerated,Winter,Sit-down Dinner,35
Dairy Products,300,Corporate,400,Room Temperature,Winter,Finger Food,15
Baked Goods,400,Corporate,500,Room Temperature,Summer,Sit-down Dinner,40
Meat,350,Social Gathering,450,Refrigerated,Summer,Sit-down Dinner,25
Baked Goods,320,Corporate,400,Room Temperature,Summer,Finger Food,25
Meat,220,Social Gathering,300,Room Temperature,Winter,Finger Food,15
Dairy Products,275,Wedding,388,Room Temperature,All Seasons,Finger Food,16
Vegetables,350,Wedding,450,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,320,Birthday,400,Room Temperature,Winter,Finger Food,25
Fruits,380,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,35
Dairy Products,400,Birthday,500,Room Temperature,Winter,Finger Food,40
Vegetables,300,Social Gathering,400,Refrigerated,Summer,Finger Food,25
Baked Goods,275,Birthday,388,Room Temperature,All Seasons,Finger Food,16
Baked Goods,400,Corporate,350,Room Temperature,Summer,Sit-down Dinner,35
Meat,250,Social Gathering,350,Refrigerated,Winter,Sit-down Dinner,25
Baked Goods,434,Wedding,495,Room Temperature,Summer,Sit-down Dinner,36
